account,situs,subdivision,acres,assessor_acres,total_value,jurisdiction,zone_code,zone_plain,zone_category,mf_threat,bucket,flu_source,flu_designation,flu_plain,flu_intent,dist_mi,compactness,contig_group,contig_group_acres,contig_group_parcels,lat,lon,interest,legal
S1223120955,S GRAND FORK WAY,3N 1W 23,8.6171,8.61,3750500,City of Meridian,R-15,Meridian Med-High Density Res (15 du/ac),Multifamily Residential,High,Vacant Land,Meridian,High Density Residential,High-Density Residential (planned),supports multifamily,3.094,0.676,4,92.54,8,43.586947,-116.422327,173.4,PAR #0955 OF N2 SEC 23 3N 1W PARCEL G ROS 11271 #120650-S #212611-S
S1223212615,2521 W OVERLAND RD,3N 1W 23,14.4485,14.45,5976400,City of Meridian,R-15,Meridian Med-High Density Res (15 du/ac),Multifamily Residential,High,Vacant Land,Meridian,High Density Residential,High-Density Residential (planned),supports multifamily,3.261,0.466,4,92.54,8,43.588717,-116.425894,173.0,PAR #2615 OF N2 SEC 23 3N 1W PARCEL H ROS 11271 #120650-S #210801-S #212611-S
R6733720460,3500 W COBALT DR,OUTER BANKS SUB,12.5334,12.546,6558000,City of Meridian,R-40,Meridian High Density Res (40 du/ac),Multifamily Residential,High,Vacant Land,Meridian,Ten Mile Interchange Specific,Ten Mile Interchange (specific area plan),master-plan (use TBD),3.921,0.449,1,197.93,32,43.602686,-116.437827,172.2,LOT 23 BLK 01 OUTER BANKS SUB
S1215131410,W COBALT DR,3N 1W 15,32.5232,32.55,,City of Meridian,R-15,Meridian Med-High Density Res (15 du/ac),Multifamily Residential,High,Vacant Land,Meridian,Ten Mile Interchange Specific,Ten Mile Interchange (specific area plan),master-plan (use TBD),4.082,0.672,1,197.93,32,43.599413,-116.441807,171.8,PAR #1410 POR OF NE4 SEC 15 3N 1W #131406-B
S1215244250,4300 W GRAND MOGUL DR,3N 1W 15,39.4166,39.46,,City of Meridian,R-15,Meridian Med-High Density Res (15 du/ac),Multifamily Residential,High,Vacant Land,Meridian,Ten Mile Interchange Specific,Ten Mile Interchange (specific area plan),master-plan (use TBD),4.298,0.758,1,197.93,32,43.599109,-116.446191,171.4,PAR #4250 POR SE4NW4 SEC 15 3N 1W #244201-B
S1215233700,S BLACK RD,3N 1W 15,21.776,21.8,,City of Meridian,R-15,Meridian Med-High Density Res (15 du/ac),Multifamily Residential,High,Vacant Land,Meridian,Ten Mile Interchange Specific,Ten Mile Interchange (specific area plan),master-plan (use TBD),4.546,0.485,1,197.93,32,43.599784,-116.451083,170.9,PAR #3700 OF SW4NW4 SEC 15 3N 1W #233650-B
R3259151240,738 W HARRIS ST,GRAYCLIFF ESTATES SUB NO 02,1.6831,1.69,0,City of Meridian,R-8,Meridian Medium Density Res (8 du/ac),Townhouse / Med-Density Residential,Medium,Vacant Land,Meridian,High Density Residential,High-Density Residential (planned),supports multifamily,2.689,0.752,3,96.9,7,43.568097,-116.403336,158.5,LOT 02 BLK 07 GRAYCLIFF ESTATES SUB NO 02
R1863770700,3240 W GRAND MOGUL DR,DISTRICT TEN MILE SUB NO 01,1.3538,1.355,,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,Ten Mile Interchange Specific,Ten Mile Interchange (specific area plan),master-plan (use TBD),3.725,0.8,1,197.93,32,43.598951,-116.43468,152.6,LOT 07 BLK 01 DISTRICT TEN MILE SUB NO 01
R1863770400,3223 W COBALT DR,DISTRICT TEN MILE SUB NO 01,2.2266,2.229,,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,Ten Mile Interchange Specific,Ten Mile Interchange (specific area plan),master-plan (use TBD),3.735,0.72,1,197.93,32,43.600824,-116.434504,152.5,LOT 04 BLK 01 DISTRICT TEN MILE SUB NO 01
R1863770500,3249 W COBALT DR,DISTRICT TEN MILE SUB NO 01,1.222,1.223,,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,Ten Mile Interchange Specific,Ten Mile Interchange (specific area plan),master-plan (use TBD),3.731,0.776,1,197.93,32,43.600042,-116.434596,152.5,LOT 05 BLK 01 DISTRICT TEN MILE SUB NO 01
R1863770800,3318 W GRAND MOGUL DR,DISTRICT TEN MILE SUB NO 01,1.1101,1.111,,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,Ten Mile Interchange Specific,Ten Mile Interchange (specific area plan),master-plan (use TBD),3.763,0.733,1,197.93,32,43.598941,-116.435457,152.5,LOT 08 BLK 01 DISTRICT TEN MILE SUB NO 01
R1863770300,3351 W COBALT DR,DISTRICT TEN MILE SUB NO 01,4.6421,4.647,,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,Ten Mile Interchange Specific,Ten Mile Interchange (specific area plan),master-plan (use TBD),3.785,0.534,1,197.93,32,43.600113,-116.43568,152.4,LOT 03 BLK 01 DISTRICT TEN MILE SUB NO 01
R1863770900,3374 W GRAND MOGUL DR,DISTRICT TEN MILE SUB NO 01,1.2566,1.258,,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,Ten Mile Interchange Specific,Ten Mile Interchange (specific area plan),master-plan (use TBD),3.801,0.793,1,197.93,32,43.598825,-116.436245,152.4,LOT 09 BLK 01 DISTRICT TEN MILE SUB NO 01
R6733720420,249 S TEN MILE RD,OUTER BANKS SUB,1.5432,1.545,1009500,City of Meridian,C-C,Community Business,Commercial,Medium,Vacant Land,Meridian,Ten Mile Interchange Specific,Ten Mile Interchange (specific area plan),master-plan (use TBD),3.816,0.395,1,197.93,32,43.602866,-116.435639,152.4,LOT 21 BLK 01 OUTER BANKS SUB
R1863770200,3445 W COBALT DR,DISTRICT TEN MILE SUB NO 01,1.7093,1.711,,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,Ten Mile Interchange Specific,Ten Mile Interchange (specific area plan),master-plan (use TBD),3.842,0.762,1,197.93,32,43.600513,-116.436742,152.3,LOT 02 BLK 01 DISTRICT TEN MILE SUB NO 01
R1863771000,3452 W GRAND MOGUL DR,DISTRICT TEN MILE SUB NO 01,1.5146,1.516,,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,Ten Mile Interchange Specific,Ten Mile Interchange (specific area plan),master-plan (use TBD),3.843,0.768,1,197.93,32,43.598495,-116.437137,152.3,LOT 10 BLK 01 DISTRICT TEN MILE SUB NO 01
R1863771100,3516 W GRAND MOGUL DR,DISTRICT TEN MILE SUB NO 01,1.0205,1.022,,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,Ten Mile Interchange Specific,Ten Mile Interchange (specific area plan),master-plan (use TBD),3.872,0.532,1,197.93,32,43.59823,-116.437764,152.3,LOT 11 BLK 01 DISTRICT TEN MILE SUB NO 01
R6733720320,249 S TEN MILE RD,OUTER BANKS SUB,1.0556,1.057,966900,City of Meridian,C-C,Community Business,Commercial,Medium,Vacant Land,Meridian,Ten Mile Interchange Specific,Ten Mile Interchange (specific area plan),master-plan (use TBD),3.865,0.765,1,197.93,32,43.603847,-116.436343,152.3,LOT 16 BLK 01 OUTER BANKS SUB
R6733720400,249 S TEN MILE RD,OUTER BANKS SUB,1.0895,1.091,712900,City of Meridian,C-C,Community Business,Commercial,Medium,Vacant Land,Meridian,Ten Mile Interchange Specific,Ten Mile Interchange (specific area plan),master-plan (use TBD),3.856,0.771,1,197.93,32,43.603336,-116.436308,152.3,LOT 20 BLK 01 OUTER BANKS SUB
R1863771610,3591 W COBALT DR,DISTRICT TEN MILE SUB NO 01,11.2205,11.232,,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,Ten Mile Interchange Specific,Ten Mile Interchange (specific area plan),master-plan (use TBD),3.896,0.659,1,197.93,32,43.599731,-116.437983,152.2,LOT 16 BLK 01 & POR OF SW4NE4 SEC 15 3N 1W PAR 1 ROS 15231 #1600-C #T1215131406-
R6733720065,3493 W FRANKLIN RD,OUTER BANKS SUB,1.1011,1.1,,City of Meridian,C-C,Community Business,Commercial,Medium,Vacant Land,Meridian,Ten Mile Interchange Specific,Ten Mile Interchange (specific area plan),master-plan (use TBD),3.891,0.756,1,197.93,32,43.604339,-116.436727,152.2,PAR #0065 POR LOT 03 BLK 01 OUTER BANKS SUB PAR 2 ROS 14797 #0060-B
R6733720380,249 S TEN MILE RD,OUTER BANKS SUB,1.295,1.296,846800,City of Meridian,C-C,Community Business,Commercial,Medium,Vacant Land,Meridian,Ten Mile Interchange Specific,Ten Mile Interchange (specific area plan),master-plan (use TBD),3.904,0.656,1,197.93,32,43.603331,-116.437287,152.2,LOT 19 BLK 01 OUTER BANKS SUB
R1863771300,3650 W GRAND MOGUL DR,DISTRICT TEN MILE SUB NO 01,1.1935,1.195,,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,Ten Mile Interchange Specific,Ten Mile Interchange (specific area plan),master-plan (use TBD),3.939,0.669,1,197.93,32,43.597976,-116.439155,152.1,LOT 13 BLK 01 DISTRICT TEN MILE SUB NO 01
R1863771400,3602 W GRAND MOGUL DR,DISTRICT TEN MILE SUB NO 01,2.6975,2.7,,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,Ten Mile Interchange Specific,Ten Mile Interchange (specific area plan),master-plan (use TBD),3.949,0.71,1,197.93,32,43.598719,-116.439234,152.1,LOT 14 BLK 01 DISTRICT TEN MILE SUB NO 01
R6733720020,3617 W FRANKLIN RD,OUTER BANKS SUB,1.0333,1.035,946800,City of Meridian,C-C,Community Business,Commercial,Medium,Vacant Land,Meridian,Ten Mile Interchange Specific,Ten Mile Interchange (specific area plan),master-plan (use TBD),3.962,0.579,1,197.93,32,43.60402,-116.438275,152.1,LOT 01 BLK 01 OUTER BANKS SUB
R8956350040,3649 W GRAND MOGUL DR,VANGUARD VILLAGE EAST SUB,2.3388,2.341,,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,Ten Mile Interchange Specific,Ten Mile Interchange (specific area plan),master-plan (use TBD),3.939,0.778,1,197.93,32,43.596984,-116.439282,152.1,LOT 02 BLK 01 VANGUARD VILLAGE EAST SUB
R8956350020,858 S UMBRIA HILLS WAY,VANGUARD VILLAGE EAST SUB,1.9522,1.954,,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,Ten Mile Interchange Specific,Ten Mile Interchange (specific area plan),master-plan (use TBD),3.992,0.795,1,197.93,32,43.59693,-116.440351,152.0,LOT 01 BLK 01 VANGUARD VILLAGE EAST SUB
R8956280600,901 S UMBRIA HILLS WAY,VANGUARD VILLAGE SUB NO 01,9.7493,9.758,,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,Ten Mile Interchange Specific,Ten Mile Interchange (specific area plan),master-plan (use TBD),4.091,0.625,1,197.93,32,43.596794,-116.442346,151.8,LOT 06 BLK 01 VANGUARD VILLAGE SUB NO 01
R7406180022,S LOCUST GROVE RD,RESCUE RANCH SUB,3.2855,3.287,,City of Meridian,R-15,Meridian Med-High Density Res (15 du/ac),Multifamily Residential,High,Vacant Land,Meridian,Medium Density Residential,Medium-Density Residential (planned),supports attached/medium,3.699,0.695,5,85.12,3,43.53872,-116.368911,144.7,PAR #0022 POR LOT 01 BLK 01 RESCUE RANCH SUB #0018-B
R7406180019,S LOCUST GROVE RD,RESCUE RANCH SUB,6.9672,6.973,,City of Meridian,R-15,Meridian Med-High Density Res (15 du/ac),Multifamily Residential,High,Vacant Land,Meridian,Medium Density Residential,Medium-Density Residential (planned),supports attached/medium,3.787,0.329,5,85.12,3,43.537735,-116.372063,144.5,PAR #0019 POR LOT 01 BLK 01 RESCUE RANCH SUB #0018-S
R8956280700,3701 W NAVIGATOR LN,VANGUARD VILLAGE SUB NO 01,6.8683,6.874,,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,High Density Employment,High-Density Employment,non-residential,3.955,0.674,1,197.93,32,43.594519,-116.439836,144.1,LOT 07 BLK 01 VANGUARD VILLAGE SUB NO 01
R8956350060,3644 W NAVIGATOR DR,VANGUARD VILLAGE EAST SUB,3.1886,3.192,,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,High Density Employment,High-Density Employment,non-residential,3.935,0.765,1,197.93,32,43.595955,-116.439308,144.1,LOT 03 BLK 01 VANGUARD VILLAGE EAST SUB
R8956350080,1020 S UMBRIA HILLS WAY,VANGUARD VILLAGE EAST SUB,1.77,1.772,,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,High Density Employment,High-Density Employment,non-residential,3.977,0.671,1,197.93,32,43.595743,-116.440171,144.0,LOT 04 BLK 01 VANGUARD VILLAGE EAST SUB
R8956400400,3987 W NAVIGATOR LN,VANGUARD VILLAGE WEST SUB,12.8147,12.83,,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,High Density Employment,High-Density Employment,non-residential,4.15,0.602,1,197.93,32,43.594763,-116.443716,143.7,LOT 04 BLK 01 VANGUARD VILLAGE WEST SUB
R8956400300,4100 W NAVIGATOR LN,VANGUARD VILLAGE WEST SUB,6.3971,6.404,,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,High Density Employment,High-Density Employment,non-residential,4.187,0.487,1,197.93,32,43.595903,-116.44437,143.6,LOT 03 BLK 01 VANGUARD VILLAGE WEST SUB
R8956400100,864 S LA VISTA LN,VANGUARD VILLAGE WEST SUB,1.5575,1.559,,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,High Density Employment,High-Density Employment,non-residential,4.246,0.724,1,197.93,32,43.597228,-116.445412,143.5,LOT 01 BLK 01 VANGUARD VILLAGE WEST SUB
S1225325700,4186 S LINDER RD,3N 1W 25,7.8795,8.313,1188500,City of Meridian,R-8,Meridian Medium Density Res (8 du/ac),Townhouse / Med-Density Residential,Medium,Vacant Land,Meridian,Medium Density Residential,Medium-Density Residential (planned),supports attached/medium,3.165,0.604,3,96.9,7,43.566015,-116.413016,137.6,PAR #5700 @ SW COR OF NW4 SW4 SEC 25 3N 1W PARCEL A R/S 5103 SID INST# 101031474
S1225336525,W AMITY RD,3N 1W 25,23.7404,24.3,,City of Meridian,R-8,Meridian Medium Density Res (8 du/ac),Townhouse / Med-Density Residential,Medium,Vacant Land,Meridian,Medium Density Residential,Medium-Density Residential (planned),supports attached/medium,3.233,0.507,3,96.9,7,43.563386,-116.412041,137.4,PAR #6525 POR SW4SW4 SEC 25 3N 1W #336510-B
R8956280200,4305 W GRAND MOGUL DR,VANGUARD VILLAGE SUB NO 01,6.7562,6.762,,City of Meridian,H-E,High-Density Employment,Industrial / Business Park,Low,Vacant Land,Meridian,Ten Mile Interchange Specific,Ten Mile Interchange (specific area plan),master-plan (use TBD),4.337,0.697,1,197.93,32,43.597011,-116.447254,136.3,LOT 02 BLK 01 VANGUARD VILLAGE SUB NO 01
S1223131245,W OVERLAND RD,3N 1W 23,9.1931,9.2,,City of Meridian,R-8,Meridian Medium Density Res (8 du/ac),Townhouse / Med-Density Residential,Medium,Vacant Land,Meridian,Medium Density Residential,Medium-Density Residential (planned),supports attached/medium,3.116,0.419,4,92.54,8,43.585037,-116.422401,133.3,PAR #1245 POR N2 SEC 23 3N 1W #244200-B
S1223244225,W OVERLAND RD,3N 1W 23,24.1403,24.17,,City of Meridian,R-8,Meridian Medium Density Res (8 du/ac),Townhouse / Med-Density Residential,Medium,Vacant Land,Meridian,Medium Density Residential,Medium-Density Residential (planned),supports attached/medium,3.211,0.384,4,92.54,8,43.585774,-116.424483,133.1,PAR #4225 POR N2 SEC 23 3N 1W #244200-S
S1223244280,W OVERLAND RD,3N 1W 23,20.2481,20.27,,City of Meridian,R-8,Meridian Medium Density Res (8 du/ac),Townhouse / Med-Density Residential,Medium,Vacant Land,Meridian,Medium Density Residential,Medium-Density Residential (planned),supports attached/medium,3.332,0.437,4,92.54,8,43.584037,-116.426549,132.9,PAR #4280 POR N2 SEC 23 3N 1W #244200-B
S1213428320,S JOHNSON LN,3N 1W 13,20.6857,20.7,,City of Meridian,R-40,Meridian High Density Res (40 du/ac),Multifamily Residential,High,Vacant Land,Meridian,MU-C,Mixed Use – Community,supports multifamily,1.967,0.359,15,47.68,4,43.595513,-116.399866,130.7,PAR #8320 POR SE4 SEC 13 3N 1W #428301-B
S1213427900,S JOHNSON LN,3N 1W 13,11.7212,11.73,,City of Meridian,R-15,Meridian Med-High Density Res (15 du/ac),Multifamily Residential,High,Vacant Land,Meridian,MU-C,Mixed Use – Community,supports multifamily,2.087,0.686,15,47.68,4,43.596269,-116.402157,130.5,PAR #7900 POR NW4SE4 SEC 13 3N 1W #428050-C #427890-C #428301-S #428010-S #42788
S1225314840,S LINDER RD,3N 1W 25,39.4847,39.526,,City of Meridian,R-4,Meridian Med-Low Density Res (4 du/ac),Single-Family Residential,Low,Vacant Land,Meridian,Medium Density Residential,Medium-Density Residential (planned),supports attached/medium,2.884,0.586,3,96.9,7,43.566359,-116.406408,123.1,PAR #4840 POR OF N2SW4 SEC 25 3N 1W #314835-B
S1225325800,S LINDER RD,3N 1W 25,12.5428,12.56,,City of Meridian,R-4,Meridian Med-Low Density Res (4 du/ac),Single-Family Residential,Low,Vacant Land,Meridian,Medium Density Residential,Medium-Density Residential (planned),supports attached/medium,3.022,0.382,3,96.9,7,43.566957,-116.410436,122.9,PAR #5800 POR OF NW4SW4 & POR OF SW4NW4 SEC 25 3N 1W #325655-S #233920-S #314835
S1225325900,S LINDER RD,3N 1W 25,9.4278,9.438,,City of Meridian,R-4,Meridian Med-Low Density Res (4 du/ac),Single-Family Residential,Low,Vacant Land,Meridian,Medium Density Residential,Medium-Density Residential (planned),supports attached/medium,2.997,0.287,3,96.9,7,43.566316,-116.409184,122.9,PAR #5900 POR OF NW4SW4 SEC 25 3N 1W #325655-B
S1225336400,1570 W AMITY RD,3N 1W 25,2.1376,2.5,365900,Ada County,R1,County Residential R1,Single-Family Residential,Low,Vacant Land,Meridian,Medium Density Residential,Medium-Density Residential (planned),supports attached/medium,3.354,0.777,3,96.9,7,43.561594,-116.413181,122.2,PAR #6400 POR SW4SW4 SEC 25  3N 1W
S1223234020,W OVERLAND RD,3N 1W 23,12.0837,12.08,,City of Meridian,R-2,Two-Family / Low-Density,Single-Family Residential,Low,Vacant Land,Meridian,Medium Density Residential,Medium-Density Residential (planned),supports attached/medium,3.506,0.382,4,92.54,8,43.584234,-116.430124,117.5,PAR #4020 POR NW4 SEC 23 3N 1W #234060-B
S1223233920,3245 W OVERLAND RD,3N 1W 23,2.5489,2.527,0,City of Meridian,R-8,Meridian Medium Density Res (8 du/ac),Townhouse / Med-Density Residential,Medium,Vacant Land,Meridian,Civic,Civic,institutional,3.622,0.6,4,92.54,8,43.584551,-116.43252,117.3,PAR #3920 @ W SIDE SW4NW4 SEC 23 3N 1W #244502-B
S0527223101,11311 W CHINDEN BLVD,4N 1E 27,73.7623,72.8,0,City of Boise,MX-3,Boise Mixed-Use Regional,Mixed Use,High,Vacant Land,Boise,Industrial,Industrial,non-residential,4.92,0.625,7,73.76,1,43.659664,-116.330518,115.9,PAR #3101 NW4 SEC 27 4N 1E #223100-B
S0436438803,650 W USTICK RD,4N 1W 36,1.2254,1.28,312800,Ada County,RUT,County Rural-Urban Transition,Agricultural / Rural,Low,Vacant Land,Meridian,MU-C,Mixed Use – Community,supports multifamily,3.565,0.601,8,69.79,3,43.634246,-116.401668,114.7,PAR #8803 @ S SIDE SW4SE4 SEC 36 4N 1W #438801-B
R8509130020,325 S TOUCHMARK WAY,TOUCHMARK LIVING CENTER SUB NO 01,7.688,7.688,4688400,City of Meridian,L-O,Limited Office,Office,Low,Vacant Land,Meridian,MU-C,Mixed Use – Community,supports multifamily,0.946,0.435,9,64.35,6,43.601707,-116.347635,114.5,LOT 02 BLK 01 TOUCHMARK LIVING CENTER SUB NO 01
S1116244261,S TOUCHMARK WAY,3N 1E 16,9.7266,9.812,4553500,City of Meridian,L-O,Limited Office,Office,Low,Vacant Land,Meridian,MU-C,Mixed Use – Community,supports multifamily,0.92,0.54,9,64.35,6,43.600162,-116.346416,114.5,PAR #4261 POR E2NW4 SEC 16 3N 1E #244260-B
S1116120662,3805 E FRANKLIN RD,3N 1E 16,36.5089,36.524,13250700,City of Meridian,L-O,Limited Office,Office,Low,Vacant Land,Meridian,MU-C,Mixed Use – Community,supports multifamily,1.044,0.28,9,64.35,6,43.603227,-116.347006,114.3,PAR #0662 POR OF N2NE4 SEC 16 3N 1E PAR B ROS 10611 #212560-B #120661-S #121050-
S1116121055,4037 E CLOCKTOWER LN,3N 1E 16,1.7156,1.717,1332900,City of Meridian,L-O,Limited Office,Office,Low,Vacant Land,Meridian,MU-C,Mixed Use – Community,supports multifamily,1.121,0.46,9,64.35,6,43.602341,-116.34368,114.1,PAR #1055 POR NW4NE4 & NE4NW4 SEC 16 3N 1E #121051-R PAR C ROS 10611 SEE PAF FOR
S1116212561,3975 E FRANKLIN RD,3N 1E 16,4.6728,4.675,2851000,City of Meridian,L-O,Limited Office,Office,Low,Vacant Land,Meridian,MU-C,Mixed Use – Community,supports multifamily,1.129,0.528,9,64.35,6,43.603581,-116.345042,114.1,PAR #2561 POR OF NE4NW4 SEC 16 3N 1E PAR A ROS 10611 #212560-S
S1131449050,1436 E PHENOMENAL ST,3N 1E 31,8.3681,8.514,1823900,City of Meridian,C-C,Community Business,Commercial,Medium,Vacant Land,Meridian,MU-C,Mixed Use – Community,supports multifamily,3.047,0.759,13,52.78,4,43.549181,-116.375779,113.7,PAR #9050 POR SE4 SEC 31 3N 1E PAR C ROS 14520 #449000-C #T449812-C
S1213417707,W WALTMAN LN,3N 1W 13,13.0281,13.03,4540700,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,MU-C,Mixed Use – Community,supports multifamily,1.792,0.632,15,47.68,4,43.595055,-116.396435,111.1,PAR #7707 @ E SIDE NE4SE4 SEC 13  3N 1W #417705
S1213417600,S JOHNSON LN,3N 1W 13,2.2475,2.25,498300,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,MU-C,Mixed Use – Community,supports multifamily,1.865,0.74,15,47.68,4,43.5959,-116.397749,111.0,PAR #7600 OF SE4 SEC 13 3N 1W #98023156
S1223223010,S TEN MILE RD,3N 1W 23,28.6436,28.671,4759400,City of Meridian,R-8,Meridian Medium Density Res (8 du/ac),Townhouse / Med-Density Residential,Medium,Vacant Land,Meridian,Mixed Employment,Mixed Employment,non-residential,3.494,0.683,6,83.35,10,43.588904,-116.430575,108.4,PAR #3010 @ NW COR SEC 23 3N 1W #223005-C #223420-C #223215-C #223260-C #1091379
S1223233670,3028 W OVERLAND RD,3N 1W 23,11.2906,11.28,1872500,City of Meridian,R-8,Meridian Medium Density Res (8 du/ac),Townhouse / Med-Density Residential,Medium,Vacant Land,Meridian,Mixed Employment,Mixed Employment,non-residential,3.487,0.66,6,83.35,10,43.58639,-116.430133,108.4,PAR #3670 NR CTR NW4 SEC 23 3N 1W #223250-C #223450-C #233660-C #1090137944
S1223223255,S TEN MILE RD,3N 1W 23,9.1096,9.052,1502600,City of Meridian,R-8,Meridian Medium Density Res (8 du/ac),Townhouse / Med-Density Residential,Medium,Vacant Land,Meridian,Mixed Employment,Mixed Employment,non-residential,3.571,0.682,6,83.35,10,43.586895,-116.431894,108.2,PAR #3255 @ W SIDE NW4NW4 SEC 23 3N 1W #223240-C #223230-C #223220-C #109137942
S1223233820,W OVERLAND RD,3N 1W 23,4.0662,4.067,1240100,City of Meridian,C-C,Community Business,Commercial,Medium,Vacant Land,Meridian,Mixed Employment,Mixed Employment,non-residential,3.623,0.773,6,83.35,10,43.585837,-116.432781,108.1,PAR #3820 @ W SIDE SW4NW4 SEC 23 3N 1W #233805-C #223402-S
S1404427850,W HIDDEN VALLEY DR,2N 1E 04,17.8427,17.9,241700,Ada County,RUT,County Rural-Urban Transition,Agricultural / Rural,Low,Vacant Land,Boise,Suburban,Suburban Residential,single-family oriented,3.901,0.464,2,98.48,7,43.53728,-116.341356,107.7,PAR #7850 OF W2SE4 SEC 4  2N 1E PARCEL A  R/S 8836 #438767-B  #437800-B
S1404438775,E COLUMBIA RD,2N 1E 04,29.1973,29.2,507500,Ada County,RUT,County Rural-Urban Transition,Agricultural / Rural,Low,Vacant Land,Meridian,Low Density Residential,Low-Density Residential (planned),single-family oriented,3.986,0.347,2,98.48,7,43.535818,-116.342446,107.5,PAR #8875 OF W2SE4 SEC 4  2N 1E PARCEL B  R/S 8836 #438840-S #438767-S #437800-S
R2861910300,7756 S MOO AND MANE LN,FLOYD SUB,8.7884,8.802,,Ada County,RUT,County Rural-Urban Transition,Agricultural / Rural,Low,Vacant Land,Meridian,Low Density Residential,Low-Density Residential (planned),single-family oriented,4.017,0.778,2,98.48,7,43.534839,-116.345723,107.4,LOT 03 BLK 01 FLOYD SUB
R2861910200,7830 S MOO AND MANE LN,FLOYD SUB,4.9929,5,,Ada County,RUT,County Rural-Urban Transition,Agricultural / Rural,Low,Vacant Land,Meridian,Low Density Residential,Low-Density Residential (planned),single-family oriented,4.099,0.682,2,98.48,7,43.533632,-116.345725,107.3,LOT 02 BLK 01 FLOYD SUB
S1404449320,E COLUMBIA RD,2N 1E 04,2.5017,2.502,35500,Ada County,RSW,County Residential (subdivision),Single-Family Residential,Low,Vacant Land,Boise,Suburban,Suburban Residential,single-family oriented,4.114,0.466,2,98.48,7,43.534516,-116.339138,107.3,PAR #9320 POR SE4SE4 SEC 4 2N 1E PARCEL 1 ROS 13039 #449360-S
R2861910100,3920 E COLUMBIA RD,FLOYD SUB,4.7849,4.789,,Ada County,RUT,County Rural-Urban Transition,Agricultural / Rural,Low,Vacant Land,Meridian,Low Density Residential,Low-Density Residential (planned),single-family oriented,4.153,0.647,2,98.48,7,43.532868,-116.345538,107.2,LOT 01 BLK 01 FLOYD SUB
S1404449025,7635 S CLOVERDALE RD,2N 1E 04,30.3759,30.849,606200,Ada County,RSW,County Residential (subdivision),Single-Family Residential,Low,Vacant Land,Boise,Suburban,Suburban Residential,single-family oriented,4.194,0.716,2,98.48,7,43.533892,-116.336373,107.1,PAR #9025 @ NE COR SE4SE4 SEC 4 2N 1E #449020-B
S1225449650,S MERIDIAN RD,3N 1W 25,25.2615,25.25,6312500,Ada County,RUT,County Rural-Urban Transition,Agricultural / Rural,Low,Vacant Land,Meridian,MU-C,Mixed Use – Community,supports multifamily,2.655,0.459,11,59.74,5,43.562971,-116.395726,106.4,PAR #9650 POR SE4 SEC 25 3N 1W #449640-C #449700-C #417500-C
R7319431905,1074 S SILVERSTONE WAY,RACKHAM SUB,3.9274,3.938,2058500,City of Meridian,R-40,Meridian High Density Res (40 du/ac),Multifamily Residential,High,Vacant Land,Meridian,MU-RG,Mixed Use – Regional,supports multifamily,0.818,0.653,40,20.86,9,43.594792,-116.345013,106.2,PAR #1905 LOTS 18 & 19 BLK 01 RACKHAM SUB PAR C ROS 13491 TCA 03-8 #1800C #1900C
S1404212755,3727 E LAKE HAZEL RD,2N 1E 04,9.6273,9.625,803700,City of Meridian,R-15,Meridian Med-High Density Res (15 du/ac),Multifamily Residential,High,Vacant Land,Meridian,Med-High Density Residential,Med-High-Density Residential (planned),supports multifamily,3.375,0.507,31,25.41,4,43.543943,-116.348359,105.7,PAR #2755 OF GOVT LOT 03 SEC 04 2N 1E #212750-B
