account,situs,subdivision,acres,assessor_acres,total_value,jurisdiction,zone_code,zone_plain,zone_category,mf_threat,bucket,flu_source,flu_designation,flu_plain,flu_intent,dist_mi,compactness,contig_group,contig_group_acres,contig_group_parcels,lat,lon,interest,legal
S1121110201,12535 W OVERLAND RD,3N 1E 21,3.8021,3.81,1991600,City of Boise,MX-2,Boise Mixed-Use Community,Mixed Use,High,Vacant Land,Boise,Commercial,Commercial,non-residential (MF only if mixed),1.111,0.345,128,6.58,3,43.589403,-116.338955,56.4,PAR #0201 OF NE4NE4 SEC 21 3N 1E PAR A ROS 11624 EXC ROW #110200-B
R7555000060,4240 E VIEW CIR,ROLLING HILL SUB,1.0348,1.037,313100,Ada County,R1,County Residential R1,Single-Family Residential,Low,Vacant Land,Meridian,MU-RG,Mixed Use – Regional,supports multifamily,0.981,0.618,131,6.22,3,43.592103,-116.341278,56.3,LOT 6 BLK 1 ROLLING HILL SUB
S1116438903,4330 E OVERLAND RD,3N 1E 16,4.0442,4.654,1047200,Ada County,RUT,County Rural-Urban Transition,Agricultural / Rural,Low,Vacant Land,Meridian,MU-RG,Mixed Use – Regional,supports multifamily,1.043,0.717,131,6.22,3,43.591134,-116.340067,56.1,PAR #8903 # SE COR SW4SE4 SEC 16 3N 1E #438900-B
S1121110011,W OVERLAND RD,3N 1E 21,1.268,1.272,775700,City of Boise,MX-2,Boise Mixed-Use Community,Mixed Use,High,Vacant Land,Boise,Commercial,Commercial,non-residential (MF only if mixed),1.255,0.307,128,6.58,3,43.589988,-116.335934,56.1,PAR #0011 OF NE4NE4 SEC 21 3N 1E PAR C ROS 11624 EXC ROW #110010-B
S1403110375,6381 S FIVE MILE RD,2N 1E 03,11.2182,11.23,2445900,Ada County,C2,County Commercial,Commercial,Low,Vacant Land,Boise,Mixed Use,Mixed Use,supports multifamily,3.939,0.702,80,11.22,1,43.54485,-116.316522,55.3,PAR #0375 NE4 NE4 SEC 03 2N 1E #110350C #110425C
S1133120706,S HILLSDALE AVE,3N 1E 33,3.5305,3.529,1691000,City of Meridian,C-C,Community Business,Commercial,Medium,Vacant Land,Meridian,MU-N,Mixed Use – Neighborhood,supports attached/medium,2.335,0.435,74,12.11,3,43.560434,-116.343986,54.4,PAR #0706 POR OF NW4NE4 SEC 33 3N 1E #120705-B
R7406020070,2045 E OVERLAND RD,RESOLUTION SUB NO 01,2.5399,2.544,1662300,City of Meridian,L-O,Limited Office,Office,Low,Vacant Land,Meridian,High Density Residential,High-Density Residential (planned),supports multifamily,0.421,0.739,269,2.54,1,43.589834,-116.368772,53.7,LOT 07 BLK 01 RESOLUTION SUB NO 01
S1117223580,S LOCUST GROVE RD,3N 1E 17,3.0068,3,93100,Ada County,R1,County Residential R1,Single-Family Residential,Low,Vacant Land,Meridian,MU-C,Mixed Use – Community,supports multifamily,0.866,0.665,226,3.01,1,43.601865,-116.371441,53.3,PAR #3580 @ S SIDE NW4NW4 SEC 17 3N 1E PARCEL 2 R/S 6325 #223560-S
R1956160160,11978 W DUNHAM LN,DUNHAM COMMONS SUB NO 01 AMD,1.5358,1.536,0,City of Boise,R-2,Two-Family / Low-Density,Two-Family / Low-Density Residential,Medium,Vacant Land,Boise,Compact,Compact / walkable neighborhood,supports attached/medium,1.607,0.453,97,9.19,5,43.602645,-116.33237,53.0,LOT 51 BLK 01 DUNHAM COMMONS SUB NO 01 AMD
R4626240075,S JADE AVE,JEWEL SUB,2.1411,2.145,385800,Ada County,R1,County Residential R1,Single-Family Residential,Low,Vacant Land,Meridian,MU-RG,Mixed Use – Regional,supports multifamily,0.598,0.788,318,2.14,1,43.592128,-116.348934,52.9,LOT 4 BLK 1 EXC N 146' JEWEL SUB
