region_code,region_name,region_basename,state,region_type,total_in,total_out,total_net,total_natural_growth,total_international_migration,avg_seasonal_visitors,latest_adjusted_population,latest_median_hhi,latest_median_age,latest_percent_white,latest_percent_asian,latest_percent_black_or_african_american,latest_percent_hispanic_or_latino,latest_percent_bachelor_and_higher,latest_average_household_value,latest_arealand,latest_population_density,latest_pop_change_forecast,weighted_avg_median_hhi_in,weighted_avg_median_age_in,weighted_avg_percent_white_in,weighted_avg_percent_asian_in,weighted_avg_percent_black_or_african_american_in,weighted_avg_percent_hispanic_or_latino_in,total_gross_migration,calc_net_migration_pct,calc_hhi_ratio,calc_age_diff,calc_white_diff,calc_asian_diff,calc_black_diff,calc_hispanic_diff,calc_pop_change,calc_pop_change_pct
41760,"Sandpoint, ID Micro Area","Sandpoint, ID Micro Area, Idaho",Idaho,cbsa,2230,1839,390,-78,181,1237.67,51383.52,67294,48.1,0.89,0.01,0,0.04,0.19,292592.01,1733.19,29.65,0.1782,86210.93,40.58,0.69,0.05,0.04,0.17,4069,0.007589982157703482,1.2811087169732813,-7.520000000000003,-0.20000000000000007,0.04,0.04,0.13,493,0.009687462419326822
27460,"Jamestown-Dunkirk, NY Micro Area","Jamestown-Dunkirk, NY Micro Area, New York",New York,cbsa,3946,3562,384,-517,176,5209.43,122812.86,58402.54,42.9,0.84,0.01,0.02,0.1,0.14,71451.1,1060.29,115.83,-0.0205,75943.88,44.44,0.71,0.04,0.09,0.15,7508,0.0031267083919387594,1.3003523476889876,1.5399999999999991,-0.13,0.03,0.06999999999999999,0.04999999999999999,43,0.0003502488314314279
33140,"Michigan City-La Porte, IN Metro Area","Michigan City-La Porte, IN Metro Area, Indiana",Indiana,cbsa,4414,4032,382,-234,91,1788.2,110900.66,70422.75,41.1,0.76,0.01,0.1,0.08,0.15,104454.5,598.12,185.41,0.0006,80039.49,40.73,0.64,0.04,0.12,0.17,8446,0.003444524135383865,1.136557291500261,-0.37000000000000455,-0.12,0.03,0.01999999999999999,0.09000000000000001,239,0.0021597362627670683
30380,"Lewistown, PA Micro Area","Lewistown, PA Micro Area, Pennsylvania",Pennsylvania,cbsa,1120,738,382,-91,13,645.49,45729.75,65053.76,43.4,0.93,0,0.01,0.02,0.09,93123.23,410.95,111.28,0.0132,78892.75,42.32,0.78,0.05,0.06,0.12,1858,0.008353424193222136,1.2127315930701008,-1.0799999999999983,-0.15000000000000002,0.05,0.049999999999999996,0.09999999999999999,304,0.0066922395337446275
31940,"Marinette, WI-MI Micro Area","Marinette, WI-MI Micro Area, Wisconsin",Wisconsin,cbsa,2082,1707,375,-429,52,1138.52,61575.32,61753.4,49,0.93,0,0,0.03,0.14,96779.54,2443.02,25.2,-0.0025,81562.66,41.85,0.72,0.03,0.05,0.16,3789,0.006090102333207525,1.3207800704090786,-7.149999999999999,-0.21000000000000008,0.03,0.05,0.13,-2,-0.00003247949082551823
26580,"Huntington-Ashland, WV-KY-OH Metro Area","Huntington-Ashland, WV-KY-OH Metro Area, West Virginia",West Virginia,cbsa,7816,7445,371,-2307,351,6507.65,364643.64,59943.29,41.9,0.93,0.01,0.02,0.01,0.14,68067.27,3052.36,119.46,-0.0033,71311.35,40.4,0.71,0.02,0.12,0.1,15261,0.0010174317040055874,1.1896469146087911,-1.5,-0.22000000000000008,0.01,0.09999999999999999,0.09000000000000001,-1585,-0.0043278974577193085
14100,"Bloomsburg-Berwick, PA Micro Area","Bloomsburg-Berwick, PA Micro Area, Pennsylvania",Pennsylvania,cbsa,2211,1843,368,-195,169,7227.43,66099.98,64063.93,41,0.91,0.01,0.02,0.04,0.16,123344.54,483.13,136.82,0.0022,79330.63,42.79,0.73,0.03,0.1,0.12,4054,0.00556732392354733,1.2383041440011564,1.7899999999999991,-0.18000000000000005,0.019999999999999997,0.08,0.07999999999999999,342,0.005200889686696581
15660,"Calhoun, GA Micro Area","Calhoun, GA Micro Area, Georgia",Georgia,cbsa,2409,2044,365,-39,117,932.28,60680.86,64320.1,38.9,0.76,0.01,0.03,0.16,0.11,118901.06,356.44,170.24,0.054,78435.08,37.63,0.55,0.04,0.21,0.15,4453,0.006015076253039262,1.2194489747372905,-1.269999999999996,-0.20999999999999996,0.03,0.18,-0.010000000000000009,443,0.007354178916714505
42940,"Sevierville, TN Micro Area","Sevierville, TN Micro Area, Tennessee",Tennessee,cbsa,5394,5032,362,-182,676,2373.35,100152.13,62889.49,43.5,0.85,0.01,0.01,0.1,0.14,128275.26,592.46,169.04,0.0606,70268.41,41.05,0.76,0.02,0.08,0.1,10426,0.0036145012592343267,1.117331528686272,-2.450000000000003,-0.08999999999999997,0.01,0.07,0,856,0.008620678368834716
38700,"Pontiac, IL Micro Area","Pontiac, IL Micro Area, Illinois",Illinois,cbsa,2024,1662,362,-104,65,504.26,35208.44,73874.41,41.8,0.88,0.01,0.03,0.06,0.13,48157.91,1043.23,33.75,0.0042,81057.3,39.17,0.69,0.04,0.1,0.15,3686,0.010281625655666652,1.0972310980216289,-2.6299999999999955,-0.19000000000000006,0.03,0.07,0.09,323,0.00925887705587202
