Market,State,Inbound,Outbound,Net Migration,Population,Median HHI,Median Age,Migration Type
"Pullman, WA Micro Area, Washington",,76,32,44,59734.37,55146.58332210349,26.4,In-State
"Burley, ID Micro Area, Idaho",,99,56,43,47857.99,70834.00972471233,33.7,Cross-State
"Green Bay, WI Metro Area, Wisconsin",,42,0,42,334937.18,79874.89942007913,39.5,In-State
"Milwaukee-Waukesha, WI Metro Area, Wisconsin",,200,158,42,1601543.79,78365.28091443398,38.7,In-State
"Springfield, OH Metro Area, Ohio",,42,0,42,133990.08,63493.09542741063,41.2,In-State
"Rockford, IL Metro Area, Illinois",,41,0,41,333408.07,68437.80425551215,39.6,In-State
"Sandpoint, ID Micro Area, Idaho",,66,25,41,51139.95,67293.99688489285,48.1,Cross-State
"Susanville, CA Micro Area, California",,41,0,41,27088.87,67790.62663176097,38.3,In-State
"Crestview-Fort Walton Beach-Destin, FL Metro Area, Florida",,40,0,40,311927.11,83091.94343372932,39.3,In-State
"Peoria, IL Metro Area, Illinois",,83,43,40,358131.54,72232.45072325093,40.1,In-State
"Austin-Round Rock-San Marcos, TX Metro Area, Texas",,82,43,39,2569546.6,100501.66652525053,36,In-State
"Hailey, ID Micro Area, Idaho",,117,78,39,32387.67,86802.97287393572,44,Cross-State
"Blackfoot, ID Micro Area, Idaho",,70,32,38,50887.73,77597.00141996227,35,Cross-State
"Huntsville, AL Metro Area, Alabama",,38,0,38,521763.13,85372.11502613504,38.8,In-State
"Madison, WI Metro Area, Wisconsin",,38,0,38,700708.02,89041.22336358565,37,In-State
"Salem, OR Metro Area, Oregon",,136,98,38,447549.77,79207.41916177643,37.5,In-State
"Birmingham, AL Metro Area, Alabama",,64,27,37,1164319.65,71776.17399653934,38.9,In-State
"Helena, MT Metro Area, Montana",,60,23,37,92112.87,79501.10885778576,42.6,In-State
"Danville, IL Micro Area, Illinois",,36,0,36,71951.31,57283.18621717211,41.3,In-State
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area, Minnesota",,108,72,36,3759013.86,99851.24589393004,38,In-State
"Sumter, SC Metro Area, South Carolina",,36,0,36,109253.51,56802.95868801053,38,In-State
"Waterloo-Cedar Falls, IA Metro Area, Iowa",,100,64,36,172581.01,70398.40889331143,36.8,In-State
"Wenatchee-East Wenatchee, WA Metro Area, Washington",,36,0,36,125871.93,81997.51911291458,39.8,In-State
"Athens, TN Micro Area, Tennessee",,35,0,35,68926.04,61136.14049404249,42.9,In-State
"Klamath Falls, OR Micro Area, Oregon",,51,16,35,67326.45,58699.863130729274,41.3,In-State
"Lexington-Fayette, KY Metro Area, Kentucky",,80,46,34,554493.92,72247.8862410212,36.7,In-State
"Redding, CA Metro Area, California",,117,83,34,177235.93,72982.5418370852,41.7,In-State
"Santa Cruz-Watsonville, CA Metro Area, California",,84,50,34,272064.46,111053.987331157,39.8,In-State
"Tallahassee, FL Metro Area, Florida",,78,44,34,406942.94,65486.31738412533,34.8,In-State
