account,situs,subdivision,acres,assessor_acres,total_value,jurisdiction,zone_code,zone_plain,zone_category,mf_threat,bucket,flu_source,flu_designation,flu_plain,flu_intent,dist_mi,compactness,contig_group,contig_group_acres,contig_group_parcels,lat,lon,interest,legal
S0926325400,E HIGHLAND VALLEY RD,3N 3E 26,39.777,40,0,Ada County,RP,County Rural Preservation/Foothills,Agricultural / Rural,Low,Vacant Land,Ada County,Rural,Rural (county),low-density / rural,4.279,0.785,21,39.78,1,43.565551,-116.072315,48.2,NW4SW4 SEC 26 3N 3E
R7198560010,1001 E INSIGNIA DR,PROMONTORY RIDGE SUB,1.3282,1.328,0,City of Boise,R-2,Two-Family / Low-Density,Two-Family / Low-Density Residential,Medium,Vacant Land,Boise,Compact,Compact / walkable neighborhood,supports attached/medium,1.757,0.163,96,4.23,3,43.562619,-116.171209,47.7,LOT 01 BLK 01 PROMONTORY RIDGE SUB
R8184740900,1915 W AIRPORT WAY,STOUT SUB AMD,2.0892,2.086,1272100,City of Boise,MX-2,Boise Mixed-Use Community,Mixed Use,High,Vacant Land,Boise,Commercial,Commercial,non-residential (MF only if mixed),3.209,0.806,131,2.09,1,43.567083,-116.204892,47.7,LOT 01 BLK 03 STOUT SUB REPLAT
R7198560440,951 E RUBICON DR,PROMONTORY RIDGE SUB,1.8361,1.869,0,City of Boise,R-2,Two-Family / Low-Density,Two-Family / Low-Density Residential,Medium,Vacant Land,Boise,Compact,Compact / walkable neighborhood,supports attached/medium,1.829,0.584,96,4.23,3,43.56355,-116.171899,47.6,LOT 44 BLK 01 PROMONTORY RIDGE SUB
R6907010090,198 W PARKCENTER BLVD,PARKCENTER SUB NO 01,1.1742,1.18,0,City of Boise,MX-3,Boise Mixed-Use Regional,Mixed Use,High,Vacant Land,Boise,Office,Office,non-residential (MF only if mixed),4.272,0.677,97,4.01,2,43.599044,-116.183223,47.5,LOT 7 BLK 1 PARKCENTER SUB NO 01
R6907010050,292 W PARKCENTER BLVD,PARKCENTER SUB NO 01,2.8378,2.47,0,City of Boise,MX-3,Boise Mixed-Use Regional,Mixed Use,High,Vacant Land,Boise,Office,Office,non-residential (MF only if mixed),4.31,0.678,97,4.01,2,43.599225,-116.184609,47.4,LOT 5 BLK 1 PARKCENTER SUB NO 01
S1027141831,1085 W WRIGHT ST,3N 2E 27,1.1312,1.15,500900,City of Boise,MX-2,Boise Mixed-Use Community,Mixed Use,High,Vacant Land,Boise,Commercial,Commercial,non-residential (MF only if mixed),2.979,0.625,174,1.13,1,43.571264,-116.194542,47.2,PAR #1831 POR SE4NE4 SEC 27 3N 2E PAR B ROS 10424 #141900-B #141830-S
R7024760010,1850 W AIRPORT WAY,PETROL SUB,1.3737,1.37,1074200,City of Boise,MX-2,Boise Mixed-Use Community,Mixed Use,High,Vacant Land,Boise,Commercial,Commercial,non-residential (MF only if mixed),3.189,0.575,159,1.37,1,43.567668,-116.203871,47.0,LOT 1 BLK 1 PETROL SUB #95000273
R6907070090,449 E PARKCENTER BLVD,PARKCENTER SUB NO 03,1.7399,1.738,0,City of Boise,MX-1,Boise Mixed-Use Neighborhood,Mixed Use,High,Vacant Land,Boise,Office,Office,non-residential (MF only if mixed),3.85,0.696,150,1.74,1,43.593794,-116.178629,46.0,PAR#0090 OF S'LY POR LT 6 BL 4 PARKCENTER SUB NO 3 #0085-B
R7909020254,S HONEY LOCUST PL,SILVERADO RANCH SUB NO 03,2.5963,2.581,0,City of Boise,R-2,Two-Family / Low-Density,Two-Family / Low-Density Residential,Medium,Vacant Land,Boise,Suburban,Suburban Residential,single-family oriented,0.13,0.197,45,14.08,3,43.542704,-116.148971,45.8,PAR#0254 W'LY POR LOT 122 BLK 01 SILVERADO RANCH SUB NO 03 PARCEL 5 R/S 4293 #02
